RAL, RGB, HEX, German, English, French, Spanish, Italian, Nederlands,,R,G,B,parsed_col
RAL 5011,035-026-036,#231A24,Stahlblau,Steel blue,Bleu acier,Azul acero,Blu acciaio,Staalblauw,,35,26,36,blue
RAL 5012,059-131-189,#3B83BD,Lichtblau,Light blue,Bleu clair,Azul luminoso,Blu luce,Lichtblauw,,59,131,189,blue
RAL 5013,037-041-074,#1E213D,Kobaltblau,Cobalt blue,Bleu cobalt,Azul cobalto,Blu cobalto,Kobaltblauw,,37,41,74,blue
RAL 5014,096-111-140,#606E8C,Taubenblau,Pigeon blue,Bleu pigeon,Azul olombino,Blu colomba,Duifblauw,,96,111,140,blue
RAL 5015,034-113-179,#2271B3,Himmelblau,Sky blue,Bleu ciel,Azul celeste,Blu cielo,Hemelsblauw,,34,113,179,blue
RAL 5017,006-057-113,#063971,Verkehrsblau,Traffic blue,Bleu signalisation,Azul tráfico,Blu traffico,Verkeersblauw,,6,57,113,blue
RAL 5018,063-136-143,#3F888F,Türkisblau,Turquoise blue,Bleu turquoise,Azul turquesa,Blu turchese,Turkooisblauw,,63,136,143,blue
RAL 5019,027-085-131,#1B5583,Capriblau,Capri blue,Bleu capri,Azul capri,Blu capri,Capriblauw,,27,85,131,blue
RAL 5020,029-051-074,#1D334A,Ozeanblau,Ocean blue,Bleu océan,Azul oceano,Blu oceano,Oceaanblauw,,29,51,74,blue
RAL 5021,037-109-123,#256D7B,Wasserblau,Water blue,Bleu d’eau,Azul agua,Blu acqua,Waterblauw,,37,109,123,blue
RAL 5022,037-040-080,#252850,Nachtblau,Night blue,Bleu nocturne,Azul noche,Blu notte,Nachtblauw,,37,40,80,blue
RAL 5023,073-103-141,#49678D,Fernblau,Distant blue,Bleu distant,Azul lejanía,Blu distante,Verblauw,,73,103,141,blue
RAL 5024,093-155-155,#5D9B9B,Pastellblau,Pastel blue,Bleu pastel,Azul pastel,Blu pastello,Pastelblauw,,93,155,155,equal
RAL 5025,042-100-120,#2A6478,Perlenzian,Pearl gentian blue,Gentiane nacré,Gencian perlado,Blu genziana perlato,Parelmoerblauw,,42,100,120,blue
RAL 5026,016-044-084,#102C54,Perlnachtblau,Pearl night blue,Bleu nuit nacré,Azul noche perlado,Blu notte perlato,Parelmoer-nachtblauw,,16,44,84,blue
RAL 6000,049-102-080,#316650,Patinagrün,Patina green,Vert patine,Verde patina,Verde patina,Patinagroen,,49,102,80,green
RAL 6001,040-114-051,#287233,Smaragdgrün,Emerald green,Vert émeraude,Verde esmeralda,Verde smeraldo,Smaragdgroen,,40,114,51,green
RAL 6002,045-087-044,#2D572C,Laubgrün,Leaf green,Vert feuillage,Verde hoja,Verde foglia,Loofgroen,,45,87,44,green
