R,G,B,parsed_col_sec,R,G,B,C=G+B,M=R+B,Y=R+G,K=R+G+B
204,102,102,R,1,0,0,0,0,0,0
220,220,220,K,0,0,0,0,0,0,1
228,155,15,R,1,0,0,0,0,0,0
248,248,255,B,0,0,1,0,0,0,0
176,101,0,R,1,0,0,0,0,0,0
96,130,182,B,0,0,1,0,0,0,0
230,232,250,B,0,0,1,0,0,0,0
212,175,55,R,1,0,0,0,0,0,0
255,215,0,R,1,0,0,0,0,0,0
153,101,21,R,1,0,0,0,0,0,0
252,194,0,R,1,0,0,0,0,0,0
255,223,0,R,1,0,0,0,0,0,0
218,165,32,R,1,0,0,0,0,0,0
168,228,160,G,0,1,0,0,0,0,0
128,128,128,K,0,0,0,0,0,0,1
70,89,69,G,0,1,0,0,0,0,0
128,128,128,K,0,0,0,0,0,0,1
190,190,190,K,0,0,0,0,0,0,1
0,255,0,G,0,1,0,0,0,0,0
28,172,120,G,0,1,0,0,0,0,0
0,128,0,G,0,1,0,0,0,0,0
0,168,119,G,0,1,0,0,0,0,0
0,159,107,G,0,1,0,0,0,0,0
0,165,80,G,0,1,0,0,0,0,0
102,176,50,G,0,1,0,0,0,0,0
173,255,47,G,0,1,0,0,0,0,0
169,154,134,R,1,0,0,0,0,0,0
0,255,127,G,0,1,0,0,0,0,0
102,56,84,R,1,0,0,0,0,0,0
68,108,207,B,0,0,1,0,0,0,0
82,24,250,B,0,0,1,0,0,0,0
233,214,107,R,1,0,0,0,0,0,0
63,255,0,G,0,1,0,0,0,0,0
201,0,22,R,1,0,0,0,0,0,0
218,145,0,R,1,0,0,0,0,0,0
128,128,0,Y,0,0,0,0,0,1,0
223,115,255,B,0,0,1,0,0,0,0
244,0,161,R,1,0,0,0,0,0,0
240,255,240,G,0,1,0,0,0,0,0
0,127,191,B,0,0,1,0,0,0,0
73,121,107,G,0,1,0,0,0,0,0
255,29,206,R,1,0,0,0,0,0,0
255,105,180,R,1,0,0,0,0,0,0
53,94,59,G,0,1,0,0,0,0,0
113,166,210,B,0,0,1,0,0,0,0
252,247,94,R,1,0,0,0,0,0,0
0,35,149,B,0,0,1,0,0,0,0
178,236,93,G,0,1,0,0,0,0,0
19,136,8,G,0,1,0,0,0,0,0
205,92,92,R,1,0,0,0,0,0,0
227,168,87,R,1,0,0,0,0,0,0
111,0,255,B,0,0,1,0,0,0,0
0,65,106,B,0,0,1,0,0,0,0
75,0,130,B,0,0,1,0,0,0,0
0,47,167,B,0,0,1,0,0,0,0
255,79,0,R,1,0,0,0,0,0,0
186,22,12,R,1,0,0,0,0,0,0
192,54,44,R,1,0,0,0,0,0,0
90,79,207,B,0,0,1,0,0,0,0
244,240,236,R,1,0,0,0,0,0,0
0,144,0,G,0,1,0,0,0,0,0
255,255,240,Y,0,0,0,0,0,1,0
0,168,107,G,0,1,0,0,0,0,0
248,222,126,R,1,0,0,0,0,0,0
215,59,62,R,1,0,0,0,0,0,0
165,11,94,R,1,0,0,0,0,0,0
52,52,52,K,0,0,0,0,0,0,1
250,218,94,R,1,0,0,0,0,0,0
189,218,87,G,0,1,0,0,0,0,0
41,171,135,G,0,1,0,0,0,0,0
76,187,23,G,0,1,0,0,0,0,0
124,28,5,R,1,0,0,0,0,0,0
195,176,145,R,1,0,0,0,0,0,0
240,230,140,R,1,0,0,0,0,0,0
232,0,13,R,1,0,0,0,0,0,0
8,120,48,G,0,1,0,0,0,0,0
214,202,221,B,0,0,1,0,0,0,0
38,97,156,B,0,0,1,0,0,0,0
254,254,34,Y,0,0,0,0,0,1,0
169,186,157,G,0,1,0,0,0,0,0
207,16,32,R,1,0,0,0,0,0,0
204,204,255,B,0,0,1,0,0,0,0
255,240,245,R,1,0,0,0,0,0,0
181,126,220,B,0,0,1,0,0,0,0
196,195,208,B,0,0,1,0,0,0,0
148,87,235,B,0,0,1,0,0,0,0
238,130,238,M,0,0,0,0,1,0,0
230,230,250,B,0,0,1,0,0,0,0
251,174,210,R,1,0,0,0,0,0,0
150,123,182,B,0,0,1,0,0,0,0
251,160,227,R,1,0,0,0,0,0,0
230,230,250,B,0,0,1,0,0,0,0
124,252,0,G,0,1,0,0,0,0,0
255,247,0,R,1,0,0,0,0,0,0
255,250,205,R,1,0,0,0,0,0,0
227,255,0,G,0,1,0,0,0,0,0
26,17,16,R,1,0,0,0,0,0,0
253,213,177,R,1,0,0,0,0,0,0
173,216,230,B,0,0,1,0,0,0,0
181,101,29,R,1,0,0,0,0,0,0
230,103,113,R,1,0,0,0,0,0,0
240,128,128,R,1,0,0,0,0,0,0
147,204,234,B,0,0,1,0,0,0,0
245,105,145,R,1,0,0,0,0,0,0
224,255,255,C,0,0,0,1,0,0,0
249,132,239,R,1,0,0,0,0,0,0
250,250,210,Y,0,0,0,0,0,1,0
211,211,211,K,0,0,0,0,0,0,1
144,238,144,G,0,1,0,0,0,0,0
240,230,140,R,1,0,0,0,0,0,0
177,156,217,B,0,0,1,0,0,0,0
255,182,193,R,1,0,0,0,0,0,0
233,116,81,R,1,0,0,0,0,0,0
255,160,122,R,1,0,0,0,0,0,0
255,153,153,R,1,0,0,0,0,0,0
32,178,170,G,0,1,0,0,0,0,0
135,206,250,B,0,0,1,0,0,0,0
119,136,153,B,0,0,1,0,0,0,0
179,139,109,R,1,0,0,0,0,0,0
230,143,172,R,1,0,0,0,0,0,0
255,255,224,Y,0,0,0,0,0,1,0
200,162,200,M,0,0,0,0,1,0,0
191,255,0,G,0,1,0,0,0,0,0
50,205,50,G,0,1,0,0,0,0,0
0,255,0,G,0,1,0,0,0,0,0
157,194,9,G,0,1,0,0,0,0,0
25,89,5,G,0,1,0,0,0,0,0
250,240,230,R,1,0,0,0,0,0,0
193,154,107,R,1,0,0,0,0,0,0
108,160,220,B,0,0,1,0,0,0,0
83,75,79,R,1,0,0,0,0,0,0
230,32,32,R,1,0,0,0,0,0,0
255,0,255,M,0,0,0,0,1,0,0
202,31,123,R,1,0,0,0,0,0,0
255,0,144,R,1,0,0,0,0,0,0
170,240,209,G,0,1,0,0,0,0,0
248,244,255,B,0,0,1,0,0,0,0
192,64,0,R,1,0,0,0,0,0,0
251,236,93,R,1,0,0,0,0,0,0
96,80,220,B,0,0,1,0,0,0,0
11,218,81,G,0,1,0,0,0,0,0
151,154,170,B,0,0,1,0,0,0,0
255,130,67,R,1,0,0,0,0,0,0
116,195,101,G,0,1,0,0,0,0,0
136,0,133,R,1,0,0,0,0,0,0
195,33,72,R,1,0,0,0,0,0,0
128,0,0,R,1,0,0,0,0,0,0
176,48,96,R,1,0,0,0,0,0,0
224,176,255,B,0,0,1,0,0,0,0
145,95,109,R,1,0,0,0,0,0,0
239,152,170,R,1,0,0,0,0,0,0
115,194,251,B,0,0,1,0,0,0,0
